Название,Тип заведения,Средний чек,Адресс
Gold,киоск быстрого питания,,"Толе би, 285/4 киоск"
Балқазан,столовая,,"ТЦ Алатау, проспект Рыскулова, 103/3"
Мара,ресторан,Средний чек 6000 тнг,"Кыдырова, 39"
У Вилли,кафе,Средний чек 1500 тнг,"Айша-Биби, 359"
As Time,кафе,Средний чек 1300 тнг,"проспект Абая, 80"
Арафат,столовая,Средний чек 800 тнг,"Биянху, 266"
Шашлычная,Кафе,,"Крылова, 52"
Peri Peri,сеть кафе быстрого питания,Доставка,"ТРК Atakent Mall, Тимирязева, 42 к3"
Столовая,Столовые,,"проспект Жибек Жолы, 60"
Точка продажи фастфудной продукции,Быстрое питание,,"Толе би, 221/1"
Столовая,Столовые,,"Тулебаева, 65"
Таншолпан,гостиничный комплекс,Средний чек 800 тнг,"Куршим, 25"
Ambrosia,ресторанный комплекс,Средний чек 5000 тнг,"Гостиница Ramada Almaty, Байтурсынова, 27/1"
Буфет-столовая,Столовые,Средний чек 1500 тнг,"проспект Жибек Жолы, 64"
Mezza Luna,суши-бар,Средний чек 3000 тнг,"ТРЦ MART, Рихарда Зорге, 18/4"
AR Healthy Coffee Shop,кофейня,Средний чек 550 тнг,"ЖК Гаухартас, проспект Абая, 150/230 блок 9"
Costa Coffee,сеть кофеен,Средний чек 1600 тнг,"Аэропорт Алматы, Майлина, 2"
Ой жайлау,кафе,,"Ташкентский тракт, 13/4а"
Rublevka,кафе-бар,Средний чек 3000 тнг,"Токжайлау, 62в"
Guests Coffee,кофейня,Средний чек 700 тнг,"Кунаева, 30"
Skazka,кафе,Средний чек 2000 тнг,"Шамгона Кажыгалиева, 22"
BIG BILL,кафе быстрого питания,Средний чек 2000 тнг,"ТРЦ Almaty Mall, Жандосова, 83"
Coffee Craft,экспресс-кофейня,,"БЦ Алтын Заман, проспект Сейфуллина, 498"
Кафе быстрого питания,Быстрое питание,,"микрорайон Коктем-2, 1"
GarnetOV`s meat,кафе быстрого питания,Средний чек 450 тнг,"Пушкина, 25"
Brown Buffet,сеть кофеен,,"проспект Сейфуллина, 567"
Зарафшан,центр плова,Средний чек 1000 тнг,"проспект Рыскулова, 130Б"
Нур Али,кафе,,"Ратушного, 94"
Apelsin_burger,кафе быстрого питания,Доставка,"ТЦ Алатау, проспект Рыскулова, 103/3"
Ace,караоке-кафе,Средний чек 5000 тнг,"Радостовца, 179а"
Кафе быстрого питания,Быстрое питание,Средний чек 800 тнг,"проспект Сейфуллина, 519"
Madisha,чайхана,Средний чек 1500 тнг,"Тургут Озала, 101"
Мадина,кафе быстрого питания,,"проспект Жибек Жолы, 67"
Точка фастфудной продукции,Быстрое питание,,"проспект Абая, 107а"
Просто Вкусно,столовая,Средний чек 900 тнг,"БЦ ASPARA, проспект Райымбека, 348/4"
Тимур,киоск по продаже кулинарных изделий,,"Шагабутдинова, 132/1 киоск"
Куаныш,кафе быстрого питания,,"Карасай батыра, 110"
Кофейня,Кафе-кондитерские / Кофейни,,"Тулебаева, 15/18а"
Chicken Almaty,столовая,Доставка,"микрорайон Баянауыл, 46а"
lunches,кафе быстрого питания,Средний чек 1000 тнг,"Сатпаева, 5"
Burger Time,кафе быстрого питания,Средний чек 2000 тнг,"ТРЦ Almaty Mall, микрорайон Куаныш, 11в/28"
Beaucoup De Café,экспресс-кофейня,Средний чек 500 тнг,"проспект Абая, 36"
Казан,столовая,Средний чек 1000 тнг,"Нур Алем, 82"
BarBossa,комплекс,,"Акан Серы, 156"
Gingy,кафе-кондитерская,,"ТРК GRAND PARK, Кабдолова, 1"
Steak & Burger,сеть кафе быстрого питания,Средний чек 1200 тнг,"ТРЦ PROMENADE, проспект Абая, 44а"
RAU KEBAB,кафе быстрого питания,Средний чек 1200 тнг,"Зияткер, 1/2"
Я худею,пироговая,,"Маркова, 61/1"
Жанер.Д,лаундж-бар,,"АТУ, Толе би, 100, Алматы"
Chicken spicy,киоск быстрого питания,Средний чек 1000 тнг,"Мустафина, 5в, Алматы"
Асыл,столовая,Средний чек 600 тнг,"ТЦ Асыл, Толе би, 260, Алматы"
Кафе быстрого питания,Быстрое питание,,"Толе би, 106, Алматы"
pro Lagman,Кафе,Средний чек 800 тнг,"Ауэзова, 134, Алматы"
Птичка,кофейня,,"Кенесары хана, 54/24, Алматы"
У Эльвиры,столовая,,"проспект Жибек Жолы, 39/1, Алматы"
АППЕТИТ,столовая,Бизнес-ланч,"Аэродромная, 1г, пос. Боралдай, Илийский район, Алматинская область"
GF coffee,кофейня,,"проспект Аль-Фараби, 21, Алматы"
Үміт,столовая,Средний чек 800 тнг,"ТД Мегатау, проспект Жибек Жолы, 55а, Алматы"
Киоск фастфудной продукции,Быстрое питание,,"проспект Райымбека, 232 киоск, Алматы"
Столовая,Столовые,,"Желтоксан, 5Б, Алматы"
Keruen,кофейня,,"микрорайон Жетысу-4, 32/1, Алматы"
Столовая,Столовые,Средний чек 1000 тнг,"Грибоедова, 80, Алматы"
Алтын Сарай,кафе,Средний чек 1200 тнг,"Кенжина, 28, рзд 71-й, Карасайский район, Алматинская область"
Ұлы Дала,развлекательный комплекс,,"Кисанова, 1, с. КазЦик, Илийский район, Алматинская область"
Sushi & rolls,ресторан быстрого питания,,"ТРК Asia Park, проспект Райымбека, 514а, Алматы"
EN-DAMDI,кафе,Бизнес-ланч · Доставка,"Доспановой, 25, Алматы"
Ильяс,кафе,Шаурма · Доставка,"микрорайон Мамыр 4, 207/1, Алматы"
Grand Pizza,кафе быстрого питания,,"ТРК GRAND PARK, Кабдолова, 1, Алматы"
Рублевка,комплекс,Доставка,"Ақсуат, 8, Алматы"
KOPPI coffee,экспресс-кофейня,,"БЦ ASPARA, проспект Райымбека, 348/4, Алматы"
PizzaRio,пиццерия,Средний чек 2000 тнг,"Московская, 15, Алматы"
Алатау,кафе,Средний чек 1500 тнг,"Казыбек Тауасарулы, 53, Алматы"
BROTHERHOOD BURGER,сеть ресторанов быстрого питания,,"ТРЦ PROMENADE, проспект Абая, 44а, Алматы"
Big Apple coffee shop,сеть кофеен,,"Керей-Жәнібек хандар, 640/1, Алматы"
Grand Pizza,кафе быстрого питания,Средний чек 1500 тнг,"Кабдолова, 1/4, Алматы"
Marrone Rosso,сеть кофеен,Средний чек 5000 тнг,"Керей-Жәнібек хандар, 640а, Алматы"
Uncle Jack,кофейня,,"БЦ Карасай, Карасай батыра, 152/1, Алматы"
ТИМ,кафе,Средний чек 3000 тнг,"Наурызбай батыра, 1/2, с. Бесагаш, Талгарский район, Алматинская область"
pro100 вкусно,столовая,Средний чек 1500 тнг,"Байтурсынова, 31, Алматы"
Гурман,столовая,,"проспект Рыскулова, 53/2, Алматы"
Вкусняшка,кафе быстрого питания,Средний чек 2000 тнг,"Кенесары хана, 54/3, Алматы"
Belvedere Grill Room,ресторан,Средний чек 30000 тнг,"Гостиница InterContinental Almaty, Желтоксан, 181, Алматы"
Chayhana №1,столовая,,"Вилюйская, 86а/1, Алматы"
Уют,ресторан,Средний чек 5000 тнг,"Гоголя, 127/1, Алматы"
Киоск по продаже блинов,Быстрое питание,Средний чек 800 тнг,"12-й микрорайон, 19Б киоск, Алматы"
